x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
24,0,172987,2,13,0,11,0,0,0,0,0,50,0,0
49,0,94638,0,9,3,3,3,0,1,0,0,40,0,0
25,0,289980,0,9,1,9,1,0,0,0,0,35,0,0
57,6,337895,2,13,0,0,0,1,0,0,0,40,0,1
53,0,144361,0,9,0,6,0,0,0,0,0,38,0,0
44,0,128354,3,14,2,2,3,0,1,0,0,40,0,0
41,4,101603,4,11,0,1,0,0,0,0,0,40,0,0
29,0,271466,4,11,1,0,1,0,0,0,0,43,0,0
25,0,32275,1,10,0,2,4,4,1,0,0,40,0,0
18,0,226956,0,9,1,5,2,0,1,0,0,30,2,0
47,0,51835,9,15,0,0,4,0,1,0,1902,60,38,1
50,6,251585,2,13,2,2,1,0,0,0,0,55,0,1
47,5,109832,0,9,2,2,1,0,0,0,0,60,0,0
43,0,237993,1,10,0,11,0,0,0,0,0,40,0,1
46,0,216666,13,3,0,6,0,0,0,0,0,40,1,0
35,0,56352,4,11,0,5,0,0,0,0,0,40,6,0
41,0,147372,0,9,0,3,0,0,0,0,0,48,0,0
30,0,188146,0,9,0,6,0,0,0,5013,0,40,0,0
30,0,59496,2,13,0,4,0,0,0,2407,0,40,0,0
32,3,293936,8,4,5,7,1,0,0,0,0,40,2,0
48,0,149640,0,9,0,8,0,0,0,0,0,40,0,0
42,0,116632,12,16,0,0,0,0,0,0,0,45,0,1
29,0,105598,1,10,2,11,1,0,0,0,0,58,0,0
36,0,155537,0,9,0,1,0,0,0,0,0,40,0,0
28,0,183175,1,10,2,3,1,0,1,0,0,40,0,0
53,0,169846,0,9,0,3,4,0,1,0,0,40,0,1
49,5,191681,1,10,0,2,0,0,0,0,0,50,0,1
25,3,200681,1,10,1,7,2,0,0,0,0,40,0,0
19,0,101509,1,10,1,0,2,0,0,0,0,32,0,0
31,0,309974,2,13,3,4,2,1,1,0,0,40,0,0
29,1,162298,2,13,0,4,0,0,0,0,0,70,0,1
23,0,211678,1,10,1,6,1,0,0,0,0,40,0,0
79,0,124744,1,10,0,0,5,0,0,0,0,20,0,0
27,0,213921,0,9,1,5,2,0,0,0,0,40,1,0
40,0,32214,6,12,0,3,0,0,0,0,0,40,0,0
67,3,212759,7,6,0,7,0,0,0,0,0,2,0,0
18,0,309634,5,7,1,5,2,0,1,0,0,22,0,0
31,2,125927,8,4,0,10,0,0,0,0,0,40,0,0
18,0,446839,0,9,1,4,1,0,0,0,0,30,0,0
52,0,276515,2,13,0,5,0,0,0,0,0,40,9,0
46,0,51618,0,9,0,5,4,0,1,0,0,40,0,0
59,0,159937,0,9,0,4,0,0,0,0,0,48,0,0
44,0,343591,0,9,2,1,1,0,1,14344,0,40,0,1
53,0,346253,0,9,2,4,2,0,1,0,0,35,0,0
49,2,268234,0,9,0,12,0,0,0,0,0,40,0,1
33,0,202051,3,14,0,0,0,0,0,0,0,50,0,0
30,0,54334,10,5,1,4,1,0,0,0,0,40,0,0
43,6,410867,12,16,1,0,1,0,1,0,0,50,0,1
57,0,249977,4,11,0,0,0,0,0,0,0,40,0,0
37,0,286730,1,10,2,1,3,0,1,0,0,40,0,0
28,0,212563,1,10,2,6,3,1,1,0,0,25,0,0
30,0,117747,0,9,0,4,4,2,1,0,1573,35,2,0
34,2,226296,2,13,0,12,0,0,0,0,0,40,0,1
29,2,115585,1,10,1,9,1,0,0,0,0,50,0,0
48,1,191277,12,16,0,0,0,0,0,0,1902,60,0,1
37,0,202683,1,10,0,4,0,0,0,0,0,48,0,1
48,0,171095,6,12,2,2,3,0,1,0,0,40,10,0
32,6,249409,0,9,1,5,2,1,0,0,0,40,0,0
76,0,124191,3,14,0,2,0,0,0,0,0,40,0,1
44,0,198282,2,13,0,2,0,0,0,15024,0,60,0,1
47,1,149116,3,14,1,0,1,0,1,0,0,50,0,0
20,0,188300,1,10,1,11,2,0,1,0,0,40,0,0
29,0,103432,0,9,1,1,1,0,0,0,0,40,0,0
32,5,317660,0,9,0,1,0,0,0,7688,0,40,0,1
17,3,304873,7,6,1,7,2,0,1,34095,0,32,0,0
30,0,194901,5,7,1,9,2,0,0,0,0,40,0,0
31,2,189265,0,9,1,3,1,0,1,0,0,40,0,0
42,0,124692,0,9,0,9,0,0,0,0,0,40,0,0
24,0,432376,2,13,1,4,5,0,0,0,0,40,0,0
38,0,65324,9,15,0,0,0,0,0,0,0,40,0,1
56,1,335605,0,9,0,5,0,0,0,0,1887,50,5,1
28,0,377869,1,10,0,4,4,0,1,4064,0,25,0,0
36,0,102864,0,9,1,6,2,0,1,0,0,40,0,0
53,0,95647,10,5,0,9,0,0,0,0,0,50,0,0
56,5,303090,1,10,0,4,0,0,0,0,0,50,0,0
49,2,197371,4,11,0,1,0,1,0,0,0,40,0,1
55,0,247552,1,10,0,4,0,0,0,0,0,56,0,0
22,0,102632,0,9,1,1,1,0,0,0,0,41,0,0
21,0,199915,1,10,1,5,2,0,1,0,0,40,0,0
40,0,118853,2,13,0,2,0,0,0,0,0,60,0,0
30,0,77143,2,13,1,2,2,1,0,0,0,40,4,0
29,4,267989,2,13,0,0,0,0,0,0,0,50,0,1
19,0,301606,1,10,1,5,2,1,0,0,0,35,0,0
47,0,287828,2,13,0,2,4,0,1,0,0,40,0,1
20,0,111697,1,10,1,3,2,0,1,0,1719,28,0,0
31,0,114937,6,12,0,3,0,0,0,0,0,40,0,1
35,3,129305,0,9,0,7,0,0,0,0,0,40,0,0
39,0,365739,1,10,2,1,1,0,0,0,0,40,0,0
28,0,69621,6,12,1,4,1,0,1,0,0,60,0,0
24,0,43323,0,9,1,5,1,0,1,0,1762,40,0,0
38,1,120985,0,9,0,1,0,0,0,4386,0,35,0,0
37,0,254202,2,13,0,4,0,0,0,0,0,50,0,0
46,0,146195,6,12,2,11,1,1,1,0,0,36,0,0
38,6,125933,3,14,0,0,0,0,0,0,0,40,23,1
43,1,56920,0,9,0,1,0,0,0,0,0,60,0,0
27,0,163127,4,11,0,3,4,0,1,0,0,35,0,0
20,0,34310,1,10,1,4,2,0,0,0,0,20,0,0
49,0,81973,1,10,0,1,0,2,0,0,0,40,0,1
61,5,66614,0,9,0,1,0,0,0,0,0,40,0,0
27,0,232782,1,10,1,4,2,0,1,0,0,40,0,0
19,0,316868,1,10,1,5,2,0,0,0,0,30,1,0
45,0,196584,4,11,1,0,1,0,1,0,1564,40,0,1
70,0,105376,1,10,1,11,5,0,0,0,0,40,0,0
31,0,185814,0,9,1,8,3,1,1,0,0,30,0,0
22,0,175374,1,10,0,5,0,0,0,0,0,24,0,0
36,0,108293,0,9,4,5,3,0,1,0,0,24,0,0
64,0,181232,5,7,0,1,0,0,0,0,2179,40,0,0
43,3,174662,1,10,2,7,1,0,1,0,0,40,0,0
47,2,186009,1,10,2,3,3,0,1,0,0,38,1,0
34,0,198183,0,9,1,3,1,0,1,0,0,40,0,0
33,0,163003,2,13,1,2,5,2,1,0,0,40,3,0
21,0,296158,0,9,1,1,2,0,0,0,0,35,0,0
52,3,252903,0,9,2,7,1,0,0,0,0,45,0,1
48,0,187715,0,9,0,1,0,0,0,0,0,46,0,0
23,0,214542,2,13,1,9,1,0,0,0,0,40,0,0
71,1,494223,1,10,3,4,3,1,0,0,1816,2,0,0
29,0,191535,0,9,2,1,1,0,0,0,0,60,0,0
42,0,228456,2,13,3,5,5,1,0,0,0,50,0,0
68,3,38317,14,2,2,7,1,0,1,0,0,20,0,0
25,0,252752,0,9,1,5,3,0,1,0,0,40,0,0
44,5,78374,3,14,2,2,3,2,1,0,0,40,0,0
28,0,88419,0,9,1,2,1,2,1,0,0,40,10,0
45,1,201080,3,14,0,4,0,0,0,0,0,40,0,1
36,0,207157,1,10,2,5,3,0,1,0,0,40,1,0
39,6,235485,6,12,1,2,1,0,0,0,0,42,0,0
46,4,102628,3,14,4,12,3,0,0,0,0,40,0,0
18,0,25828,5,7,1,9,2,0,0,0,0,16,0,0
66,2,54826,4,11,4,0,1,0,1,0,0,20,0,0
27,0,124953,0,9,1,5,1,0,0,0,1980,40,0,0
28,4,175325,0,9,0,12,0,0,0,0,0,40,0,0
51,0,96062,1,10,0,4,0,0,0,0,1977,40,0,1
27,0,428030,2,13,1,1,1,0,0,0,0,50,0,0
28,4,149624,2,13,0,0,0,0,0,0,0,40,0,1
27,0,253814,0,9,5,4,3,0,1,0,0,25,0,0
21,0,312956,0,9,1,1,2,1,0,0,0,40,0,0
34,0,483777,0,9,1,9,1,1,0,0,0,40,0,0
18,0,183930,0,9,1,5,2,0,0,0,0,12,0,0
33,0,37274,2,13,0,0,0,0,0,0,0,65,0,0
44,2,181344,1,10,0,2,0,1,0,0,0,38,0,1
43,0,114580,1,10,2,3,1,0,1,0,0,40,0,0
30,0,633742,1,10,1,1,1,1,0,0,0,45,0,0
40,0,286370,8,4,0,6,0,0,0,0,0,40,1,1
37,6,29054,1,10,0,3,0,0,0,0,0,42,0,1
34,0,304030,0,9,0,3,0,1,0,0,0,40,0,0
41,1,143129,2,13,2,2,1,0,1,0,0,40,0,0
53,3,135105,2,13,2,7,1,0,1,0,0,50,0,0
31,0,99928,3,14,0,0,4,0,1,0,0,50,0,0
58,4,109567,12,16,0,0,0,0,0,0,0,1,0,1
38,0,155222,1,10,2,6,1,1,1,0,0,28,0,0
24,0,159567,1,10,0,6,0,0,0,0,0,40,0,0
41,2,523910,2,13,0,1,0,1,0,0,0,40,0,0
47,0,120939,1,10,0,11,0,0,0,0,0,45,0,0
41,6,130760,2,13,0,11,0,0,0,0,0,24,0,0
23,0,197387,13,3,0,8,5,0,0,0,0,40,1,0
36,0,99374,1,10,2,1,1,0,0,0,0,40,0,0
40,6,56795,3,14,1,2,1,0,1,14084,0,55,0,1
35,0,138992,3,14,0,0,5,0,0,7298,0,40,0,1
24,1,32921,0,9,1,4,1,0,0,0,0,40,0,0
26,0,397317,3,14,1,0,1,0,1,0,1876,40,0,0
19,3,170653,0,9,1,7,2,0,0,0,0,40,14,0
51,0,259323,2,13,0,2,0,0,0,0,0,50,0,1
42,2,254817,1,10,1,0,1,0,1,0,1340,40,0,0
37,4,48211,0,9,2,3,3,0,1,0,0,35,0,0
18,0,140164,5,7,1,4,2,0,1,0,0,40,0,0
36,0,128757,2,13,0,5,0,1,0,7298,0,36,0,1
35,0,36270,0,9,2,1,1,0,0,0,0,60,0,0
58,5,210563,0,9,0,4,4,0,1,15024,0,35,0,1
17,0,65368,5,7,1,4,2,0,1,0,0,12,0,0
44,2,160943,0,9,0,8,0,1,0,0,0,40,0,0
37,0,208358,0,9,0,1,0,0,0,0,0,40,0,1
35,0,153790,1,10,1,4,1,3,1,0,0,40,0,0
60,0,85815,0,9,0,1,0,2,0,0,0,40,0,0
54,5,125417,8,4,0,6,0,0,0,0,0,40,0,1
37,0,635913,2,13,1,2,1,1,0,0,0,60,0,1
50,0,313321,6,12,2,4,1,0,1,0,0,40,0,0
38,0,182609,2,13,0,4,0,0,0,0,0,50,19,0
45,0,109434,2,13,0,0,0,0,0,0,0,55,0,0
25,0,255004,7,6,1,1,1,0,0,0,0,40,0,0
31,0,197860,1,10,0,9,0,0,0,0,0,40,0,0
64,3,187656,14,2,2,7,1,0,0,0,0,40,0,0
90,0,51744,0,9,1,5,1,1,0,0,2206,40,0,0
54,0,176681,0,9,0,3,0,1,0,0,0,20,0,0
53,2,140359,15,1,1,6,1,0,1,0,0,35,0,0
18,0,243313,0,9,1,4,2,0,1,0,0,40,0,0
60,3,24215,7,6,2,7,1,3,1,0,0,10,0,0
66,1,167687,0,9,0,10,0,0,0,1409,0,50,0,0
75,0,314209,4,11,4,3,1,0,1,0,0,20,20,0
65,0,176796,0,9,2,3,1,0,1,0,0,40,0,0
35,0,538583,5,7,3,8,1,1,0,3674,0,40,0,0
41,0,130408,0,9,2,4,3,1,1,0,0,38,0,0
25,0,159732,1,10,1,3,1,0,0,0,0,42,0,0
33,0,110978,1,10,2,1,5,4,1,0,0,40,0,0
28,0,76714,9,15,1,0,1,0,0,0,0,55,0,1
59,4,268700,0,9,0,5,0,0,0,0,0,40,0,0
40,4,170525,1,10,1,3,1,0,1,0,0,38,0,0
41,0,180138,2,13,0,2,0,0,0,0,0,50,23,1
38,2,115076,3,14,0,2,0,0,0,0,0,70,0,1
23,0,115458,0,9,1,8,2,0,0,0,0,40,0,0
40,0,347890,2,13,0,0,0,0,0,0,0,40,0,1
41,1,196001,0,9,0,5,4,0,1,0,0,20,0,0
24,4,273905,6,12,0,12,0,0,0,0,0,50,0,0
20,3,119156,1,10,1,7,2,0,0,0,0,20,0,0
38,0,179488,1,10,2,1,1,0,0,0,1741,40,0,0
56,0,203580,0,9,0,3,0,0,0,0,0,35,2,0
58,0,236596,0,9,0,3,0,0,0,0,0,45,0,1
32,0,183916,0,9,1,5,1,0,1,0,0,34,0,0
40,0,207578,6,12,0,11,0,0,0,0,1977,60,0,1
45,0,153141,0,9,0,3,0,0,0,0,0,40,2,0
41,0,112763,9,15,0,0,4,0,1,0,0,40,0,1
42,0,390781,2,13,0,3,4,1,1,0,0,40,0,0
59,2,171328,7,6,4,5,3,1,1,0,0,30,0,0
19,2,27382,1,10,1,3,2,0,0,0,0,40,0,0
58,0,259014,1,10,1,8,1,0,0,0,0,20,0,0
42,1,303044,0,9,0,10,0,2,0,0,0,40,33,1
20,0,117789,0,9,1,5,2,0,1,0,0,40,0,0
32,0,172579,0,9,3,5,1,0,1,0,0,30,0,0
45,0,187666,4,11,4,2,1,0,1,0,0,45,0,0
50,0,204518,8,4,2,1,1,0,0,0,0,40,0,0
36,0,150042,2,13,2,0,2,0,1,0,0,40,0,0
45,0,98092,0,9,0,4,0,0,0,0,0,60,0,0
17,0,245918,5,7,1,5,2,0,0,0,0,12,0,0
59,0,146013,1,10,0,4,0,0,0,4064,0,40,0,0
26,0,378322,5,7,0,1,0,0,0,0,0,40,0,0
37,5,257295,1,10,0,2,0,2,0,0,0,75,35,1
19,3,218956,1,10,1,7,2,0,0,0,0,24,5,0
64,0,21174,0,9,0,2,0,0,0,0,0,40,0,1
33,0,185480,2,13,1,0,1,0,1,0,0,45,0,0
33,0,222205,0,9,0,1,4,0,1,0,0,40,0,1
61,0,69867,0,9,0,2,0,0,0,0,0,40,0,1
17,0,191260,10,5,1,5,2,0,0,1055,0,24,0,0
50,1,30653,3,14,0,10,0,0,0,2407,0,98,0,0
27,2,209109,3,14,1,0,2,0,0,0,0,35,0,0
30,0,70377,0,9,2,0,2,0,1,0,0,40,0,0
43,0,477983,0,9,0,9,0,1,0,0,0,40,0,0
44,0,170924,1,10,0,1,0,0,0,7298,0,40,0,1
35,0,190174,1,10,1,2,1,0,1,0,0,40,0,0
25,0,193787,1,10,1,11,2,0,1,0,0,40,0,0
24,0,279472,1,10,0,6,4,0,1,7298,0,48,0,1
22,0,34918,2,13,1,0,1,0,1,0,0,15,4,0
42,2,97688,1,10,0,1,0,0,0,5178,0,40,0,1
34,0,175413,6,12,2,4,3,1,1,0,0,45,0,0
60,0,173960,2,13,2,0,1,0,1,0,0,42,0,0
21,0,205759,0,9,1,9,2,0,0,0,0,40,0,0
57,6,425161,3,14,0,4,0,0,0,15024,0,40,0,1
41,0,220531,9,15,0,0,0,0,0,0,0,60,0,1
50,0,176609,1,10,2,5,1,0,0,0,0,45,0,0
25,0,371987,2,13,1,2,1,0,1,0,0,40,0,0
50,0,193884,8,4,0,1,0,0,0,0,0,40,29,0
36,0,200352,2,13,0,0,0,0,0,0,0,45,0,0
31,0,127595,0,9,2,0,1,0,1,0,0,40,0,0
29,2,220419,2,13,1,12,1,0,0,0,0,56,0,0
21,0,231931,1,10,1,4,2,0,0,0,0,45,0,0
27,0,248402,2,13,1,11,3,1,1,0,0,40,0,0
65,0,111095,0,9,0,8,0,0,0,0,0,16,0,0
37,5,57424,2,13,2,4,1,0,1,0,0,60,0,0
39,3,157443,3,14,0,7,4,2,1,3464,0,40,2,0
24,0,278130,0,9,1,1,2,0,0,0,0,40,0,0
38,0,169469,0,9,2,4,1,0,0,0,0,80,0,0
48,0,146268,2,13,0,3,0,0,0,7688,0,40,0,1
21,0,153718,1,10,1,5,1,2,1,0,0,25,0,0
31,0,217460,0,9,0,8,0,0,0,0,0,45,0,1
55,0,238638,0,9,0,4,0,0,0,4386,0,40,0,1
24,0,303296,1,10,0,3,4,2,1,0,0,40,34,0
43,0,173321,0,9,2,3,1,0,1,0,0,40,0,0
26,0,193945,6,12,1,11,1,0,0,0,0,45,0,0
46,0,83082,6,12,1,0,1,0,1,0,0,33,0,0
35,0,193815,6,12,0,3,0,0,0,0,0,40,0,1
41,5,34987,1,10,0,10,0,0,0,0,0,54,0,1
26,0,59306,2,13,1,4,1,0,0,0,0,40,0,0
34,0,142897,3,14,0,2,0,2,0,7298,0,35,21,1
19,3,860348,1,10,1,7,2,1,1,0,0,25,0,0
36,1,205607,2,13,2,0,1,1,1,0,0,40,0,1
22,0,199698,1,10,1,4,2,0,0,0,0,15,0,0
24,0,191954,1,10,1,6,1,0,0,0,0,40,0,0
77,1,138714,1,10,0,4,0,0,0,0,0,40,0,0
22,0,399087,13,3,0,6,5,0,1,0,0,40,1,0
29,0,423158,1,10,1,11,1,0,1,0,0,40,0,0
62,0,159841,0,9,4,5,1,0,1,0,0,24,0,0
39,1,174308,0,9,0,2,0,0,0,0,0,40,0,0
43,0,50356,1,10,0,1,0,0,0,0,1485,50,0,0
35,0,186110,0,9,2,8,1,0,0,0,0,45,0,0
29,0,200381,5,7,1,2,1,0,1,0,0,40,0,0
76,1,174309,3,14,0,1,0,0,0,0,0,10,0,0
63,1,78383,0,9,0,10,0,0,0,0,0,45,0,0
23,3,211601,4,11,1,7,2,1,1,0,0,15,0,0
43,0,187728,1,10,0,0,4,0,1,0,1887,50,0,1
58,1,321171,0,9,0,9,0,0,0,0,0,40,0,0
66,0,127921,0,9,1,8,1,0,0,2050,0,55,0,0
41,0,206565,1,10,1,1,1,1,0,0,0,45,0,0
26,0,224563,2,13,1,3,1,0,0,0,0,40,0,0
47,0,178686,4,11,1,5,1,0,0,0,0,40,0,0
55,2,98545,7,6,0,3,0,0,0,0,0,40,0,0
53,0,242606,0,9,0,8,0,0,0,0,0,40,0,0
17,0,270942,13,3,1,5,5,0,0,0,0,48,1,0
30,0,94235,0,9,1,1,5,0,0,0,0,40,0,0
49,0,71195,3,14,1,0,1,0,0,0,0,60,0,0
19,0,104112,0,9,1,4,3,1,0,0,0,30,22,0
45,0,261192,0,9,0,5,0,1,0,0,0,40,0,0
26,0,94936,6,12,1,4,1,0,0,0,0,40,0,0
38,0,296478,4,11,0,1,0,0,0,7298,0,40,0,1
36,4,119272,0,9,0,12,0,0,0,7298,0,40,0,1
33,0,85043,0,9,1,10,1,0,0,0,0,20,0,0
22,4,293364,1,10,1,12,2,1,1,0,0,40,0,0
43,1,241895,2,13,1,4,1,0,0,0,0,42,0,0
67,3,36135,5,7,0,7,0,0,0,0,0,8,0,0
30,3,151989,4,11,2,7,3,0,1,0,0,40,0,0
56,0,101128,6,12,5,5,1,0,0,0,0,25,23,0
31,0,156464,2,13,1,0,2,0,0,0,0,25,0,0
33,0,117963,2,13,0,2,0,0,0,0,0,40,0,1
26,0,192262,0,9,0,5,0,0,0,0,0,40,0,0
33,0,111363,2,13,0,2,0,0,0,0,0,40,0,1
46,2,329752,5,7,0,8,0,0,0,0,0,30,0,0
59,3,372020,2,13,0,7,0,0,0,0,0,40,0,1
38,6,95432,0,9,0,3,0,0,0,0,0,40,0,1
65,0,161400,5,7,4,5,3,4,0,0,0,40,0,0
40,0,96129,4,11,0,11,0,0,0,0,0,40,0,1
42,0,111949,0,9,0,3,4,0,1,0,0,35,0,0
26,1,117125,10,5,0,1,0,0,0,0,0,40,24,0
36,0,348022,7,6,0,5,4,0,1,0,0,24,0,0
62,0,270092,3,14,0,0,0,0,0,0,0,40,0,1
43,0,180609,2,13,0,8,0,0,0,0,0,45,0,0
43,0,174575,2,13,2,2,1,0,0,0,1564,45,0,1
22,0,410439,0,9,5,4,1,0,0,0,0,55,0,0
28,0,92262,0,9,0,1,0,0,0,0,0,40,0,0
56,1,183081,1,10,0,4,0,0,0,0,0,45,0,0
22,0,362589,6,12,1,4,1,0,1,0,0,15,0,0
57,0,212448,2,13,2,2,1,0,1,0,0,45,0,1
39,0,481060,0,9,2,4,3,0,1,0,0,40,0,0
26,6,185885,1,10,1,3,3,0,1,0,0,15,0,0
17,0,89821,5,7,1,5,2,0,0,0,0,10,0,0
40,4,184018,4,11,0,6,0,0,0,0,0,38,0,1
45,0,256649,0,9,0,6,0,1,0,0,0,40,0,0
44,0,160323,0,9,1,1,1,1,0,0,0,40,0,0
20,2,350845,1,10,1,3,2,0,1,0,0,10,0,0
33,0,267404,0,9,0,1,4,0,1,0,0,40,0,0
23,0,35633,1,10,1,4,1,0,0,0,0,40,0,0
46,1,80914,3,14,2,2,1,0,0,0,0,30,0,0
38,0,172927,0,9,0,4,0,0,0,0,0,50,0,0
54,0,174319,0,9,2,8,1,0,0,0,0,40,0,0
46,0,214955,13,3,2,1,1,0,1,0,2339,45,0,0
25,0,344991,1,10,0,1,0,0,0,0,0,40,0,0
46,0,108699,1,10,2,4,1,0,1,0,0,40,0,0
36,2,117312,1,10,0,8,4,0,1,0,0,40,0,0
23,0,396099,0,9,1,5,1,0,1,0,0,25,0,0
29,0,134152,0,9,3,6,1,0,0,0,0,40,0,0
44,0,162028,1,10,0,3,4,0,1,0,2415,6,0,1
19,0,25429,1,10,1,3,2,0,1,0,0,16,0,0
19,0,232392,0,9,1,5,5,0,1,0,0,40,0,0
35,0,220098,0,9,0,5,4,0,1,0,0,40,0,1
27,0,301302,2,13,1,1,1,0,0,0,0,50,0,0
46,1,277946,6,12,3,1,1,0,0,0,0,40,0,0
34,4,98101,2,13,0,2,0,0,0,7688,0,45,2,1
34,0,196164,0,9,1,5,1,0,1,0,0,35,0,0
44,0,115562,1,10,0,11,0,0,0,0,0,40,0,0
45,0,96975,1,10,2,9,3,0,1,0,0,40,0,0
20,3,137300,0,9,1,7,5,0,1,0,0,35,0,0
25,0,86872,2,13,0,2,0,0,0,0,0,55,0,1
52,5,132178,2,13,0,2,0,0,0,0,0,50,0,1
20,0,416103,1,10,1,9,2,0,0,0,0,40,0,0
28,0,108574,1,10,1,5,1,0,1,0,0,40,0,0
50,4,288353,2,13,0,12,0,0,0,0,0,40,0,1
34,0,227689,4,11,2,11,1,0,1,0,0,64,0,0
28,0,166481,8,4,0,9,0,4,0,0,2179,40,6,0
41,0,445382,3,14,0,2,0,0,0,0,1977,65,0,1
28,0,110145,0,9,0,3,0,0,0,0,0,40,0,0
46,1,317253,0,9,0,1,0,0,0,0,0,25,0,0
28,3,123147,1,10,0,7,4,0,1,0,1887,40,0,1
32,0,364657,1,10,0,2,0,0,0,0,0,50,0,0
41,2,42346,1,10,2,5,1,1,1,0,0,24,0,0
24,0,241951,0,9,1,9,3,1,1,0,0,40,0,0
33,0,118500,1,10,2,2,3,0,1,0,0,40,0,0
46,0,188386,12,16,0,2,0,0,0,15024,0,60,0,1
31,4,1033222,1,10,0,6,0,0,0,0,0,40,0,0
35,0,92440,11,8,2,1,1,0,0,0,0,50,0,1
52,0,190762,14,2,0,6,0,0,0,0,0,40,1,0
30,0,426017,5,7,1,5,2,0,1,0,0,19,0,0
34,2,243867,5,7,3,6,1,1,0,0,0,40,0,0
34,4,240283,0,9,2,8,3,0,1,0,0,40,0,0
20,0,61777,1,10,0,4,0,0,0,0,0,30,0,0
17,0,175024,5,7,1,9,2,0,0,2176,0,18,0,0
32,4,92003,2,13,0,2,4,0,1,0,0,40,0,1
29,0,188401,0,9,2,10,1,0,0,0,0,40,0,0
33,0,228528,7,6,1,1,3,0,1,0,0,35,0,0
25,0,133373,0,9,0,8,0,0,0,0,0,60,0,0
36,6,255191,3,14,1,0,1,0,0,0,1408,40,0,0
23,0,204653,0,9,1,9,1,0,0,0,0,72,15,0
63,5,222289,0,9,0,2,0,0,0,0,0,40,0,1
47,2,287480,3,14,0,0,0,0,0,0,0,40,0,0
80,3,107762,0,9,4,7,1,0,0,0,0,24,0,0
17,3,202521,5,7,1,7,2,0,0,0,0,40,0,0
40,1,204116,2,13,5,0,1,0,1,2174,0,40,0,0
30,0,29662,6,12,0,5,4,0,1,0,0,25,0,1
27,0,116358,1,10,1,1,2,2,0,0,1980,40,3,0
33,0,208405,3,14,0,0,0,0,0,0,0,50,0,1
34,2,284843,0,9,1,10,1,1,0,594,0,60,0,0
34,2,117018,1,10,1,12,1,0,1,0,0,40,0,0
23,0,81281,1,10,0,3,0,0,0,0,0,40,0,0
42,2,340148,1,10,0,3,4,0,1,0,0,40,0,0
29,0,363425,2,13,1,0,1,0,0,0,0,40,0,0
45,0,45857,0,9,2,3,1,0,1,0,0,28,0,0
24,6,191073,0,9,1,14,2,0,0,0,0,40,0,0
44,0,116632,1,10,0,0,0,0,0,0,0,40,0,1
27,0,405855,10,5,1,1,5,0,0,0,0,40,1,0
20,0,298227,1,10,1,4,1,0,0,0,0,35,0,0
