sum0,sum1
-160079,989474
899265,-965010
-213181,-240409
-818561,898811
-870704,-377173
25280,-550047
496573,-667392
552147,-698168
-524442,139890
436114,359521
647319,9723
-862752,-454614
-285887,-528121
-813210,161620
-34079,716846
390056,58794
750698,-333986
-294516,-572491
952421,844739
316457,-942426
948198,-880076
698559,356645
-983370,386309
-604847,-698591
586894,-182760
92154,577613
-210940,-30818
-391557,-478547
579201,-168811
982884,34232
289508,386964
155905,-76042
723380,-157176
996108,462604
-652722,-535796
567036,-28701
-623756,301660
-2916,21681
-902222,243493
-208368,-345816
-29505,200196
693835,576516
-105972,-933834
-483550,-398103
-138849,-425107
609934,586745
-767989,-348573
-629940,296523
-144667,727483
93116,100827
-33334,355646
507091,-847110
159083,360042
-869909,784922
960650,-39799
-429628,-898761
-315742,586713
222632,618184
-76868,251080
547945,-184189
-663065,75548
626050,923704
838395,-61144
484110,-75763
-879118,820231
-572767,-101967
809439,-879889
261002,-779705
-613755,-746664
569758,-90455
-869059,211398
-34718,-324362
-473022,-397523
426952,-678022
199100,803943
872736,-56530
482277,434793
936116,823875
337046,93834
-74374,-304569
806483,-434015
792635,991051
-434763,932415
-47987,119239
192558,-98049
-429994,152572
-420059,880740
-137319,-291216
77247,-665806
297199,-583321
-686178,-529072
136913,-972048
420122,249171
898697,-489414
581702,-621233
-89788,187426
-55711,395123
944529,892603
-313351,-946234
-431441,-978560
866546,139655
417253,-901042
576253,941675
88770,838253
424752,180252
457816,-652086
-310546,266964
-249319,-796160
-394735,-146113
414811,-526078
-74203,602005
702700,591798
460300,70746
-425441,862178
-138986,-746643
147484,-871981
703953,998317
748929,5825
-875239,-556240
256625,-683263
-169443,185342
-871944,-681810
-199803,-296414
671878,896261
165941,-696445
-282096,499008
131047,-945222
676316,129379
-962568,568243
-134776,596952
-41241,811558
-250967,-873073
-223185,-129343
709584,-490711
-91529,358674
410017,-847175
-137818,810949
-375325,-841923
-683448,727128
-792604,-105273
664570,374846
-362169,-240626
-731624,-601526
674624,-516167
125997,407349
751829,712902
688526,722144
376857,969472
104280,-127792
17744,719391
-392247,-589602
683172,540849
-604995,424584
-108095,175124
-852361,-809377
-403960,177921
-664731,390367
-102481,23713
918088,133887
867268,274653
-554164,73961
-538264,-144321
824208,701886
-287033,604215
200311,-706773
640126,320628
-998383,956148
-394462,-374128
355507,651679
482069,395165
-93855,-236989
758810,-983466
455722,-709391
905109,-281590
398223,548754
148817,-43704
-445038,492484
549927,-550385
412281,320443
497254,-995635
572041,-810804
204910,-739189
-916536,41144
-234855,804872
426626,971611
425536,110918
-899181,-409335
243915,-343359
505623,-811542
372523,-847427
-206700,616258
-437239,-479147
596601,-238029
39104,26656
-252774,-987635
-338332,-888028
620326,-247833
465961,530051
968578,-308781
56237,-127830
331386,282561
705271,582234
744604,-174071
-31699,465043
-648622,-987487
836149,700707
-553125,-841534
-662207,-576357
519103,-114188
-648623,675380
417028,115954
761475,-77456
-373791,175647
-518060,462354
-851072,166403
-717272,258953
-469008,96497
-237517,-470090
736376,800009
325148,-794576
950905,392417
-283368,667246
989030,-887837
-29178,21687
-247564,2829
-478437,-363510
294803,-32342
601167,-433148
-219431,745143
623093,-39031
-176478,-924326
-798472,319512
-830901,-249870
417277,-597526
28470,-628320
993906,965581
867801,304286
228992,797484
534467,-338804
28199,-286349
-311207,481755
965727,836928
128853,-962817
902662,-261291
-870113,345203
157917,-46257
-739115,-720899
168572,-640154
299697,-309053
640927,-642900
368996,-195643
413572,-300158
13730,959900
979973,958959
-524014,988188
-832636,-701183
498580,696527
80448,513521
65812,400085
326089,282578
800547,-867274
-196026,818327
968659,-47112
-208596,-589398
875260,129521
-741070,357705
-510223,246842
716639,-565920
-992862,-480226
616893,-139161
-217378,-261059
-209942,44955
-385772,921081
-940440,246027
180534,297812
312587,-224984
-73873,-452122
-790512,-959060
549843,-510104
-601308,-383241
607138,-231701
-368144,-374611
109392,204731
239557,237257
-772455,241965
-34681,-744489
-90696,640776
-606446,151688
95508,869298
593434,463012
-19418,-14263
-229752,-508294
-432056,35878
905355,-457945
573400,46149
541523,198629
-102780,-162095
-33856,155671
476228,-279583
-446497,984424
56057,-279411
782415,876935
595031,-675102
-219052,693117
-954834,-707742
-35624,103583
385296,-893021
-675470,697011
274376,827498
462659,70057
-244314,-379719
328238,380476
349407,-685507
-595686,-120954
-204524,-642499
956259,-369268
-515287,-91111
-727141,-696043
680556,-574892
2500,983261
427113,345299
475954,-908137
-13482,-784677
85042,132666
162368,-133902
683878,109689
-491798,624434
-246242,371719
-513019,-303562
-188611,993921
-703347,741722
996400,-867549
-884057,773453
829604,-201394
-76847,208853
-819270,-237385
612583,828019
-129008,-837249
-598140,829809
-7994,115083
714434,576200
198545,947245
-361055,782430
950773,-259861
-209891,976227
198344,-704008
979205,-101066
918954,-129257
-930416,347963
-380817,600572
-27294,-586012
62784,-832652
932749,560548
-186724,-394976
179716,267492
369058,-463132
-701666,894731
582288,49804
-146034,597720
-201143,-101559
616594,796850
-404716,325697
109758,-888437
545359,-328796
387785,-492264
-430293,735590
-148171,274869
-664071,-975831
-779513,-472212
112312,-487983
839680,-891693
-424548,-808738
837588,-429461
-477770,230505
-883963,-687178
-716536,-407187
277984,-128773
-559425,951068
474872,-702347
-7384,-615504
763009,-939041
307231,774197
-578729,637122
-934480,-830790
-738224,523449
-659910,759870
-863021,-206609
-722654,963268
-761293,908200
667825,205879
771387,-292177
-974857,-84929
-190032,-199610
428287,-394936
-200110,-266383
133026,-513640
999621,677684
-612420,86835
-999589,-224478
898233,77920
-367687,-40170
113153,707554
769735,-901565
73501,-623065
726430,740465
450508,-348231
12958,-756470
-714427,-342170
981698,-415103
984174,504350
-992875,695403
-917482,197304
-606681,-731900
100150,770510
-600614,637514
20419,-506462
-442598,748309
82189,143068
-571278,-979994
402587,-765749
-179343,257110
758493,328152
687976,523192
-100782,-984585
-124815,-113821
901121,-989405
-706171,-672858
717811,-494381
398642,90148
109882,-809148
420790,540601
-981963,-380176
-795449,275810
-322710,-121362
-192539,390335
-789086,76651
309696,255799
708981,513911
-712886,-266542
72402,-648933
357281,939089
-183032,254024
805230,579184
871317,-497732
160849,-542541
-560082,-922728
923511,-391555
88964,78356
736368,-334794
41101,-443349
256064,441571
158396,662881
8333,90134
-533854,-914931
772361,239371
-143557,-431287
294346,-867032
477354,-648759
586078,-341766
795137,758194
933316,-638080
517330,918559
862389,-499999
970530,-52113
376112,247725
223496,-453784
-998439,-991015
-679515,-185754
-157555,-66777
-86751,-970776
-19728,-828509
-36793,-66307
893861,692848
-234373,18301
824702,773445
691804,-840106
-266457,372666
837193,-541606
783532,-941774
989567,763887
-601829,234581
203937,-448246
79389,-195017
-495540,804688
634985,333500
-706111,-559463
-894745,-599547
-573472,23970
-723239,-11313
-801203,733468
219731,-896639
266422,857151
-55983,164912
792944,221261
341354,-129159
-346026,636786
-841001,-828641
-310096,582183
-605202,571625
707046,-321228
438088,717688
-527186,-193779
916818,239497
-533764,408402
-811808,777865
307346,499342
951254,961184
-155232,-366983
860550,-679423
-659632,-531316
-676051,530334
750484,496742
408097,-896655
957817,-609459
296610,-345060
18245,228440
-932936,559901
-75964,291316
-947115,955639
-131453,901422
799431,41706
-980109,728538
484816,76197
-918953,811586
658800,-794745
-168517,83070
-672622,971630
460237,-448199
-949886,314255
-304149,-31777
56567,-104483
408609,232238
788818,904021
-866739,-461073
-282876,523653
-847889,-222750
-480173,-439426
-947332,808580
-747628,603723
750269,473358
495753,-25533
345780,-578629
-672806,-252171
-928308,672355
-324703,396361
-528671,-878757
-561548,569933
247010,255663
-122402,611830
-23506,568559
-479869,-671367
-884783,-570530
133799,402717
-843551,-759439
-853013,-367942
-943087,320582
-63689,-206765
-303284,-381627
-145081,477505
382963,-398285
489164,-820647
818738,187146
450359,443585
-390298,-497741
-666242,-977526
296154,743003
-997583,684371
-606656,294757
702948,453659
-859638,921797
535274,859825
598549,198454
-609789,-349460
675488,330371
296484,-275213
608245,-52644
-522358,-505415
594123,-5405
-561728,150177
269112,447589
-99634,842803
763688,-61160
468045,-150668
803369,-245167
254095,668191
-459422,-915337
859031,518546
-834223,-848253
-271783,64134
853551,881471
-557495,-430440
-804889,-464018
-958621,-503946
233260,920633
237539,-721749
-235498,-566218
411478,-330391
624377,151408
-793674,-343429
-462588,691136
-137438,-805873
749603,66381
-621308,824271
472645,-282643
-957409,576104
250328,-902138
-903764,-702011
-915673,-897393
748888,-926305
821468,-672169
945382,-586126
141386,-244128
117323,-824496
473077,274593
-563832,927498
967924,316437
797754,396674
487020,-504640
-481203,890873
773449,43204
602653,-685429
-346305,68286
238407,-930263
780851,981967
802208,576745
344081,-119252
-959069,548700
-540215,-997785
-215785,509351
504730,-678384
844814,-205027
819759,539052
9820,-834172
-247805,327292
-531382,-590918
366466,895137
551226,-971607
-927567,-889489
-822870,-859449
874018,-430398
788280,-23070
13178,-905521
-227506,413062
639921,998274
-226752,-318199
966783,407075
-176542,756637
899357,-251637
74593,916646
906691,249639
-940532,502457
182921,597105
511123,-752860
783370,17158
351066,842626
92624,-984255
440669,571063
760112,-118964
223583,-473903
586903,445343
464806,-873444
188824,-766343
-349739,505561
-159085,30923
485148,-482051
762502,408778
937964,103965
500,746706
-197793,784633
-595946,614360
209749,630697
181671,137642
-401186,840258
-915437,184839
42630,567486
257697,-208083
-317984,964010
326564,248027
287183,-735500
568572,-332262
355747,-883333
503247,936902
-105218,-299175
223817,-792305
-988226,473006
-691343,-436277
457452,-839272
848859,-12530
-556844,711735
-913387,-895526
380515,761859
214207,110700
-711890,-86293
362402,36357
253922,-880199
-385010,-124263
-4684,946192
606045,-694023
-542169,849974
-783174,-992017
426646,141016
653634,153372
-215688,-135337
44285,45311
302139,-431097
-353392,-414218
738999,722361
598012,884133
-844299,-902974
-149169,-489434
7058,651605
22827,284167
129185,291213
412996,719777
890519,-80476
215171,-511369
677305,-30807
854977,795823
25443,707695
-638479,-131229
-967307,-597135
-286449,-593571
961324,470598
-406488,314099
220600,661028
561872,-681058
-12670,434095
437462,-33601
-467527,-384117
-276018,-613087
-429929,539216
738261,342310
-647909,-800025
-724389,-856643
945370,-211571
166353,-182475
-84879,-305233
-591060,524128
828011,-136731
-972095,163603
-365823,97662
802628,-774617
-810572,-719074
-632753,625253
948806,-384629
-770406,745083
78338,231848
-106632,-128412
371046,-561587
-703327,367506
-925817,-519783
238646,-215080
496720,-81451
230390,178503
385605,896921
462136,-512259
255146,542793
-704594,165852
-886324,-245690
948193,-47904
637765,868448
-615742,643569
-119180,-459513
-960685,-261457
-749310,-16773
840126,-796311
-952007,-246217
55823,-35940
970267,-168161
-561093,467741
-608398,-963885
-698262,597590
1317,460433
579975,-754881
-310830,-678655
629201,93827
-383385,-997415
-861509,-997955
-454662,866300
54438,-844735
-631701,-715882
102476,431707
-809569,848159
503180,119640
980979,-648506
-43348,-207931
-79916,355696
719430,-478491
-481897,-203102
-478817,419349
-655811,-714716
614307,682053
706336,-230530
377661,183773
-122737,-540824
311422,274333
442224,252497
975920,-548786
57940,-835480
932600,-280095
-558559,-348494
-470553,168982
-190777,-489693
28079,-555199
-320647,574992
-878250,463198
-209855,-802241
-558064,-384813
899978,146192
914674,41495
-774207,-481524
545109,337452
-608092,-76002
506663,-494217
-503590,494044
-205835,-170633
-632794,177659
-796831,-898953
947782,119337
27587,559481
955195,-796414
270833,987531
731862,-525078
399092,-971372
-49647,138745
-823690,80299
-580149,-413963
442236,376186
-972090,522920
83965,-876565
-955391,805492
-7533,562348
460203,259285
559464,-958955
857997,81999
-552779,59487
-587771,-989277
562225,743622
-981419,-949512
428430,-746324
-508922,688083
761667,-165175
-531613,-872544
-167139,-404999
-236299,-325281
834012,503988
-89908,-241860
-122635,-259288
-83550,455798
-479390,-348535
-103779,-653380
-679418,256857
-267210,725178
224252,373244
-678762,471132
-989959,-847572
888826,167414
64658,47426
875049,541059
-465295,-712738
-969596,315316
448030,177450
-965271,-891504
232354,324392
-310598,-979028
279451,308294
-906792,875970
578963,608035
-828932,150155
-994333,-1291
-542985,181759
-385909,-436610
-314978,-517587
-774519,-458593
-777398,746406
-86290,840390
-532732,360405
-520619,468571
-782279,272791
-209065,-252853
-357237,-306549
-395499,267230
561089,-714134
709682,-148691
794789,483629
442742,425794
687486,-970671
-196598,-742526
-379303,449875
974372,-113571
710330,450195
374898,-370808
-942517,-593275
-908668,-838244
712405,443269
-32701,675404
-202417,913633
648831,440018
-45562,-667214
678827,-831320
272537,18830
-731894,571147
473576,445321
237901,-832551
-665669,353055
-599421,367225
977982,580278
852815,209105
580156,477707
-607654,462619
-44974,-328673
-805102,123913
90358,721308
-893911,-707707
382124,-60747
-795109,-997752
267144,620921
-433393,-954018
-841194,591256
293507,947111
-691948,-686920
614544,636867
-864098,598316
856601,-117916
-397078,746304
606418,705839
424097,-256855
-628827,458327
-785049,-86493
971845,53541
715300,257994
-46687,-79201
-800429,-117696
593103,375298
929957,-964922
-960973,105154
-438005,-417134
591195,670698
-903229,98721
978642,-177589
203623,-272626
835025,216682
163577,-516034
862953,-563057
767064,-291506
509442,797872
-612612,754296
-489842,-874676
-977434,593277
-499,973414
578248,942626
960015,471906
522247,-393358
791168,613406
421944,520722
-570043,85144
-259806,-433198
-41958,-153609
486957,936296
-882011,-31053
-495215,186263
-667227,-441628
-292681,28110
135853,-837988
-319474,-40053
292975,-669655
-601546,212960
-633569,-868995
180536,-166875
-760336,257193
141757,-299449
-579807,-992015
-595969,479470
505985,186975
-956135,879224
-757656,445895
-592632,176727
-699145,722764
800069,273351
286635,890070
900494,288941
492940,-33403
289420,-115071
267886,-890647
-13899,-353444
-64665,-503973
-167990,632874
-67730,273318
961743,-59749
-690052,318661
-56498,-407100
-583331,205045
717906,198028
54555,647306
505146,704192
838056,354347
31761,-412311
849302,-442060
371896,152797
276279,672324
345201,293114
-693457,-238058
-462363,211610
-582003,788697
639097,-875581
684429,-769431
-100868,332274
-938259,-295650
179685,-373518
-777125,653054
-967284,134313
292415,109845
-361861,-485243
980723,-388392
42448,-528142
326820,-847905
-6963,902651
-660491,-6990
105925,-642464
583528,-558496
321226,885907
699906,-447781
-171982,-356675
-278776,962889
868281,-958456
